Column1
"Redmi 8 (Sapphire Blue, 64 GB)"
"Realme C3 (Frozen Blue, 32 GB)"
"Realme C3 (Blazing Red, 32 GB)"
"Realme 5i (Forest Green, 64 GB)"
"Realme 5i (Aqua Blue, 64 GB)"
"Realme C3 (Frozen Blue, 64 GB)"
"Realme C3 (Blazing Red, 64 GB)"
"Redmi 7A (Matte Black, 32 GB)"
"Redmi 8A (Ocean Blue, 32 GB)"
"Infinix Hot 8 (Shark Grey, 64 GB)"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)"
"Infinix Hot 8 (Quetzal Cyan, 64 GB)"
"Infinix Hot 8 (Cosmic Purple, 64 GB)"
"Meizu C9 (Gold, 16 GB)"
"Redmi 8A (Ocean Blue, 32 GB)"
"Realme 5 (Crystal Purple, 32 GB)"
"Realme 5 (Crystal Blue, 32 GB)"
"Realme C2 (Diamond Ruby, 32 GB)"
"Realme 5 Pro (Crystal Green, 64 GB)"
"SSKY Reno (Black, Red, 16 GB)"
"Realme 5 Pro (Sparkling Blue, 64 GB)"
"Realme C2 (Diamond Blue, 32 GB)"
"Redmi Note 7 Pro (Space Black, 64 GB)"
"SSKY Reno (Dark Blue, 16 GB)"
"Realme 5 Pro (Sparkling Blue, 128 GB)"
"Redmi 8A (Midnight Black, 32 GB)"
"Realme 5 Pro (Sparkling Blue, 64 GB)"
"Realme C2 (Diamond Black, 32 GB)"
"Realme 5 Pro (Crystal Green, 64 GB)"
"SSKY Pro (Iris Purple, 16 GB)"
"Realme 5 Pro (Crystal Green, 128 GB)"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)"
"Redmi 8A (Midnight Black, 32 GB)"
"Vivo Z1Pro (Sonic Black, 128 GB)"
"Vivo Z1Pro (Sonic Black, 64 GB)"
"Vivo Z1Pro (Sonic Black, 64 GB)"
"Vivo Z1Pro (Sonic Blue, 64 GB)"
"Redmi 8A (Sunset Red, 32 GB)"
"Realme 3i (Diamond Blue, 32 GB)"
"Redmi Note 7S (Sapphire Blue, 64 GB)"
"Redmi Note 7 Pro (Space Black, 64 GB)"
"Realme 3 (Radiant Blue, 64 GB)"
"Vivo U10 (Electric Blue, 64 GB)"
"Infinix S5 Lite (Violet, 64 GB)"
"Infinix S5 Lite (Quetzal Cyan, 64 GB)"
"Vivo Z1Pro (Sonic Blue, 64 GB)"
"Vivo Z1Pro (Sonic Blue, 128 GB)"
"Realme 3 (Dynamic Black, 64 GB)"
"Vivo U10 (Electric Blue, 32 GB)"
"Ssky Y888 (Blue, 16 GB)"
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)"
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)"
"Realme 3 (Dynamic Black, 64 GB)"
"Vivo Y91 (Starry Black, 32 GB)"
"Apple iPhone 7 (Black, 32 GB)"
"OPPO A7 (Glaring Gold, 64 GB)"
"POCO X2 (Atlantis Blue, 128 GB)"
"Redmi Note 8 (Moonlight White, 64 GB)"
"POCO X2 (Matrix Purple, 128 GB)"
"Vivo Y15 (Aqua Blue, 64 GB)"
"Honor 9X (Midnight Black, 128 GB)"
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)"
"OPPO F11 (Fluorite Purple, 128 GB)"
"OPPO A7 (Glaze Blue, 64 GB)"
"Vivo Z1x (Phantom Purple, 128 GB)"
"OPPO F11 (Marble Green, 128 GB)"
"Vivo Y15 (Burgundy Red, 64 GB)"
"POCO X2 Special Edition (Matrix Purple, 128 GB)"
"Redmi Note 7S (Onyx Black, 32 GB)"
"Redmi Note 7 Pro (Nebula Red, 64 GB)"
"POCO X2 (Phoenix Red, 128 GB)"
"Realme XT (Pearl Blue, 64 GB)"
"Realme XT (Pearl Blue, 64 GB)"
"OPPO F15 (Unicorn White, 128 GB)"
"Motorola One Macro (Space Blue, 64 GB)"
"Redmi Go (Black, 16 GB)"
"Redmi Go (Blue, 16 GB)"
"Realme XT (Pearl Blue, 128 GB)"
"Realme X2 (Pearl Green, 128 GB)"
"Realme X2 (Pearl Green, 64 GB)"
"Realme X2 (Pearl White, 64 GB)"
"Realme X2 (Pearl Blue, 64 GB)"
"Realme X2 (Pearl Blue, 128 GB)"
"Realme X2 (Pearl Green, 128 GB)"
"OPPO A7 (Glaze Blue, 64 GB)"
"Realme X2 (Pearl White, 128 GB)"
"Vivo Y19 (Spring White, 128 GB)"
"Apple iPhone 11 (Black, 128 GB)"
"Redmi Go (Black, 8 GB)"
"Redmi Note 8 Pro (Gamma Green, 64 GB)"
"Redmi Note 8 Pro (Halo White, 128 GB)"
"Redmi Note 8 Pro (Gamma Green, 128 GB)"
"Honor 9X (Midnight Black, 128 GB)"
"Realme X (Space Blue, 128 GB)"
"Realme X2 Pro (Neptune Blue, 64 GB)"
"Vivo Z1x (Fusion Blue, 128 GB)"
"Vivo Z1x (Phantom Purple, 64 GB)"
"OPPO F11 (Fluorite Purple, 128 GB)"
"OPPO F11 Pro (Thunder Black, 128 GB)"
Ssky S9007
